"Classes","AIC","BIC","aBIC","Entropy","BLRT(p)","潜在类别比例"
1,5417.71791868806,5443.21777014162,5424.17256857542,1,NA,"1"
2,4821.49937738128,4863.99912980388,4832.25712719356,0.942840482333034,NA,"0.63: 0.37"
3,4591.16482419263,4650.66447758426,4606.22567392981,0.953918154944,NA,"0.19: 0.62: 0.19"
4,4416.3430120468,4492.84256640747,4435.70696170889,0.900993862152693,NA,"0.23: 0.43: 0.16: 0.19"
5,4298.4140431278,4391.91349845751,4322.0810927148,0.950508995302958,NA,"0.06: 0.41: 0.18: 0.18: 0.19"
6,4097.56585261707,4208.06520891582,4125.53600212899,0.980869263260681,NA,"0.04: 0.15: 0.3: 0.17: 0.16: 0.18"
